product_name,video_script,email_copy,social_post
AirMax 2025,"Introducing AirMax 2025: Lightweight, breathable, and perfect for running!",Step into comfort with AirMax 2025 today! Only $120.,"🏃‍♂️ Run faster, feel lighter with AirMax 2025! #Shoes #Running"
RunnerPro,RunnerPro: Your ultimate companion for long-distance runs!,Get RunnerPro now and enjoy maximum comfort on every run!,🏅 Conquer every mile with RunnerPro sneakers! #RunningShoes
ComfyWalk,ComfyWalk: All-day comfort for your feet!,Experience the soft cushioning of ComfyWalk shoes now!,👟 Walk in comfort and style with ComfyWalk! #EverydayShoes
SportyFlex,SportyFlex: Flexible and stylish sneakers for every sport.,Upgrade your training with SportyFlex today!,🔥 Move freely with SportyFlex sneakers! #SportyShoes
TrailBlazer,TrailBlazer: Perfect for hiking and outdoor adventures.,Conquer trails with TrailBlazer shoes! Get yours now.,🌲 Adventure awaits with TrailBlazer! #HikingShoes
UrbanStep,UrbanStep: Sleek and modern shoes for city life.,Step up your style with UrbanStep sneakers!,🏙️ City walks made stylish with UrbanStep! #UrbanShoes
SpeedRunner,"SpeedRunner: Fast, lightweight, and built for performance.",Feel the speed with SpeedRunner shoes!,⚡ Sprint to victory with SpeedRunner! #PerformanceShoes
ComfortPro,ComfortPro: Maximum cushioning for everyday wear.,Treat your feet to ComfortPro today!,😊 Everyday comfort starts with ComfortPro shoes! #ComfortShoes
NightRider,NightRider: Stylish sneakers with reflective accents.,Shine on the streets with NightRider sneakers!,🌙 Walk safely and stylishly with NightRider! #NightShoes
PowerKick,PowerKick: Athletic shoes for serious training.,Dominate your workouts with PowerKick!,💪 Power through your training with PowerKick! #TrainingShoes
